name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;20;0;43;3035;906;3035;906;0
header;68;142;68;175;1701;175;1701;142
A;865;203;865;237;889;237;889;203
A;781;267;781;270;782;270;782;267
A;559;313;559;320;567;320;567;313
A;846;352;846;360;853;360;853;352
D;715;733;715;745;722;745;722;733
A;26;755;26;755;26;755;26;755
D;843;771;843;788;852;788;852;771
A;211;853;211;861;218;861;218;853
B;871;877;871;905;893;905;893;877
A;162;901;162;916;171;916;171;901
B;480;951;480;968;490;968;490;951
A;318;1290;318;1305;326;1305;326;1290
A;740;1388;740;1403;747;1403;747;1388
C;868;1550;868;1580;889;1580;889;1550
A;479;1647;479;1658;484;1658;484;1647
A;375;1900;375;1915;383;1915;383;1900
B;392;1944;392;1960;400;1960;400;1944
D;870;2229;870;2256;893;2256;893;2229
A;412;2324;412;2329;417;2329;417;2324
A;896;2336;896;2337;897;2337;897;2336
A;467;2418;467;2421;474;2421;474;2418
A;414;2570;414;2572;414;2572;414;2570
A;718;2618;718;2618;718;2618;718;2618
A;625;2837;625;2838;626;2838;626;2837
