name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;389;0;435;3041;1008;3041;1008;0
header;228;151;228;184;1849;184;1849;151
A;987;251;987;252;987;252;987;251
A;908;266;908;266;910;266;910;266
D;868;403;868;418;876;418;876;403
A;504;404;504;420;511;420;511;404
A;846;762;846;777;854;777;854;762
C;440;1623;440;1642;454;1642;454;1623
A;483;1905;483;1905;486;1905;486;1905
D;630;2439;630;2456;638;2456;638;2439
A;904;2690;904;2691;906;2691;906;2690
B;660;2843;660;2870;682;2870;682;2843
B;908;2844;908;2860;930;2860;930;2844
